	2
103.179.215.132	4
103.186.224.218	2
103.187.83.51	25
103.24.32.167	2
103.78.115.93	26
104.180.30.124	4
104.60.110.161	4
104.60.111.247	6
106.101.54.110	178
106.108.248.79	861
106.108.80.191	20
106.109.198.251	2
106.109.200.135	2
106.119.139.137	74
106.119.76.226	4
106.121.230.218	346
106.124.144.206	8
106.200.98.153	2
106.71.225.6	4
106.82.229.211	2
107.69.0.222	4
107.69.8.24	8
108.121.130.146	2
108.121.130.147	108
108.121.130.64	4
108.121.153.110	135
108.121.153.111	2
108.121.153.179	34
108.62.145.166	2
110.199.9.123	807
111.113.211.113	2
111.113.241.217	12
111.121.188.134	6
111.247.22.65	2
111.85.18.94	2
112.8.105.248	2
113.161.59.36	2915
113.165.169.13	2160
113.170.60.246	2
113.171.48.197	18
113.198.226.122	16
113.198.227.236	56
113.225.28.201	2
113.226.126.199	2
114.156.22.199	294
114.156.22.200	6
114.156.22.208	114
115.163.201.201	188
115.163.35.220	4
115.163.55.255	2263
116.182.208.4	2
117.249.171.58	2
117.250.27.104	2
118.164.149.243	2
118.2.231.111	6
118.212.110.130	6
118.225.9.24	274
119.112.68.131	22
119.112.68.136	6
119.112.68.144	14
119.112.68.158	20
119.112.70.75	2
119.235.240.212	8
119.235.254.191	2
119.45.231.60	2
120.86.8.177	74
120.98.198.122	36
121.138.201.186	2146
122.222.50.164	2
122.228.44.176	2
122.83.110.18	2
123.185.52.126	2
123.33.204.231	4
124.174.164.250	2
124.174.168.230	30
124.174.168.8	2
124.220.35.154	150
124.220.35.157	8
124.220.35.170	22
125.212.63.245	2
125.46.199.105	4
125.46.199.98	52
125.56.55.109	1548
13.115.167.58	10
130.68.233.179	20
130.68.80.52	12
131.30.132.248	4
131.30.187.40	6
131.30.191.72	40
131.30.191.74	14
131.30.242.165	80
131.30.251.57	230
131.31.1.2	6
131.31.1.6	362
131.31.102.231	2
131.31.104.151	4
131.31.104.220	70
131.31.104.223	74
131.31.105.104	76
131.31.105.106	501
131.31.105.107	2
131.31.105.189	2
131.31.105.59	8
131.31.109.122	214
131.31.109.80	234
131.31.115.247	4
131.31.121.14	2
131.31.121.17	4
131.31.121.24	1850
131.31.121.63	84
131.31.129.146	26
131.31.129.40	949
131.31.129.41	1129
131.31.129.43	682
131.31.129.44	968
131.31.129.54	86
131.31.130.254	26
131.31.130.98	4
131.31.131.192	12
131.31.131.193	396
131.31.131.194	26
131.31.131.195	81
131.31.131.196	2
131.31.131.198	18
131.31.131.201	70
131.31.131.202	104
131.31.131.204	100
131.31.131.205	54
131.31.131.206	22
131.31.131.207	24
131.31.131.208	50
131.31.131.209	16
131.31.131.211	10
131.31.131.214	12
131.31.131.215	2
131.31.131.216	2
131.31.131.217	10
131.31.131.218	14
131.31.131.219	6
131.31.131.221	236
131.31.131.222	215
131.31.131.224	79
131.31.131.225	26
131.31.131.227	12
131.31.131.229	2
131.31.131.232	530
131.31.131.239	12
131.31.131.240	4
131.31.131.245	14
131.31.131.249	24
131.31.131.250	89
131.31.131.252	26
131.31.131.254	2
131.31.131.255	2
131.31.134.200	68
131.31.134.4	1843
131.31.134.46	20
131.31.134.70	35
131.31.134.81	28
131.31.135.180	76
131.31.136.102	72
131.31.136.103	1564
131.31.138.107	10
131.31.138.123	8
131.31.138.145	11
131.31.138.189	116
131.31.138.201	50
131.31.138.239	34
131.31.138.244	4
131.31.138.69	10
131.31.138.70	30
131.31.138.72	4
131.31.138.76	2
131.31.138.80	10
131.31.138.96	2
131.31.139.196	2
131.31.139.207	20
131.31.139.223	4
131.31.139.228	32
131.31.141.139	48
131.31.141.244	52
131.31.141.93	2
131.31.143.105	4
131.31.143.33	22
131.31.143.76	16
131.31.144.37	510
131.31.144.86	4
131.31.145.144	14
131.31.145.215	27
131.31.145.24	14
131.31.145.64	52
131.31.145.68	2
131.31.145.96	10
131.31.148.75	6
131.31.149.139	6
131.31.150.202	2
131.31.150.210	40
131.31.150.214	42
131.31.150.44	16971
131.31.150.69	40
131.31.150.71	54
131.31.151.165	2
131.31.151.184	46
131.31.153.36	2
131.31.155.171	16
131.31.159.101	14
131.31.159.162	14
131.31.159.230	4
131.31.159.64	46
131.31.160.254	34
131.31.160.28	4
131.31.161.195	2
131.31.161.216	40
131.31.161.238	4
131.31.161.247	4
131.31.162.157	31
131.31.162.171	122
131.31.162.180	76
131.31.162.182	2
131.31.167.25	10
131.31.167.68	34
131.31.168.107	28
131.31.168.98	482
131.31.17.178	829
131.31.172.183	6
131.31.172.64	144
131.31.176.200	8
131.31.176.210	2
131.31.176.217	8
131.31.178.223	2
131.31.179.167	4
131.31.179.34	26
131.31.18.44	6
131.31.18.47	10
131.31.184.114	2
131.31.184.122	14
131.31.186.109	8
131.31.193.196	8
131.31.193.197	10
131.31.193.203	2
131.31.193.207	6
131.31.193.218	6
131.31.195.241	2
131.31.195.248	4
131.31.195.90	34
131.31.20.104	10
131.31.20.144	22
131.31.20.167	164
131.31.20.216	8
131.31.20.60	4
131.31.20.63	8
131.31.203.81	2
131.31.203.82	12
131.31.203.83	68
131.31.203.85	115
131.31.206.75	2
131.31.207.12	2
131.31.207.123	70
131.31.207.253	4
131.31.207.255	68
131.31.207.4	17
131.31.207.5	8
131.31.207.8	8
131.31.209.102	4
131.31.209.107	40
131.31.209.146	8
131.31.209.167	2
131.31.209.187	398
131.31.209.72	20
131.31.209.90	22
131.31.21.122	10
131.31.21.148	18
131.31.21.73	6
131.31.21.95	2
131.31.210.191	78
131.31.212.63	4
131.31.212.95	22
131.31.216.105	26
131.31.216.192	33
131.31.216.197	10
131.31.216.206	10
131.31.216.212	10
131.31.216.220	14
131.31.217.106	86
131.31.217.149	2231
131.31.217.237	14
131.31.217.239	2
131.31.217.69	14
131.31.217.70	18
131.31.218.113	10
131.31.218.115	18
131.31.218.118	14
131.31.218.254	22
131.31.218.90	8
131.31.220.32	62
131.31.221.127	72
131.31.224.132	25
131.31.224.142	14
131.31.224.147	14
131.31.224.18	2
131.31.224.182	12
131.31.224.199	4
131.31.224.214	4
131.31.224.220	20
131.31.226.111	38
131.31.226.125	2
131.31.226.16	2
131.31.226.172	6
131.31.226.215	57
131.31.226.232	10
131.31.226.84	12
131.31.227.55	278
131.31.229.120	2
131.31.238.226	2
131.31.24.126	6
131.31.24.133	24
131.31.24.135	2
131.31.24.137	2
131.31.24.138	22
131.31.24.139	41
131.31.240.138	4
131.31.240.144	4
131.31.240.188	38
131.31.240.64	6
131.31.240.72	10
131.31.240.73	1271
131.31.241.23	12
131.31.241.25	12
131.31.241.26	438
131.31.243.211	4
131.31.245.175	298
131.31.245.80	2
131.31.250.157	8
131.31.253.32	8
131.31.253.88	36
131.31.35.14	2
131.31.68.77	6
131.31.69.88	4
131.31.73.122	6
131.31.73.221	32
131.31.73.240	8
131.31.73.77	4
131.31.73.8	2
131.31.75.186	6
131.31.76.164	2
131.31.76.65	8
131.31.81.59	566
131.31.81.85	4
131.31.81.93	22
131.31.82.104	4
131.31.82.119	2
131.31.85.128	12
131.31.90.207	4
131.31.90.213	10
131.31.90.222	44
131.31.92.19	12
131.31.92.92	133
131.31.94.183	2
131.31.94.248	12
131.31.96.0	31
131.31.96.107	30
131.31.96.108	2
131.31.96.110	2
131.31.96.117	20
131.31.96.118	11
131.31.96.131	12
131.31.96.137	4
131.31.96.138	252
131.31.96.14	14
131.31.96.15	4
131.31.96.158	18
131.31.96.17	6
131.31.96.45	6
131.31.96.47	2
131.31.96.5	2
131.31.96.52	39
131.31.96.7	116
131.31.96.8	2
131.31.98.203	356
131.31.98.205	731
131.31.99.133	2
131.31.99.142	4
131.31.99.153	76
