103.176.205.169	2[150.192.37.190]
103.179.215.132	4[150.177.178.220, 150.177.41.17]
103.186.224.218	2[163.221.97.171]
103.187.83.51	25[203.66.198.229]
103.24.32.167	2[133.117.159.61]
103.78.115.93	26[150.192.37.211]
104.180.30.124	4[202.145.235.2]
104.60.110.161	4[163.221.7.38]
104.60.111.247	6[150.192.176.0]
106.101.54.110	178[131.30.215.186]
106.108.248.79	861[150.192.58.186, 203.66.201.145]
106.108.80.191	20[163.221.204.136]
106.109.198.251	2[150.192.6.94]
106.109.200.135	2[150.192.117.207]
106.119.139.137	74[131.30.147.202]
106.119.76.226	4[131.30.2.188, 131.30.7.112]
106.121.230.218	346[150.192.58.186]
106.124.144.206	8[131.30.7.69]
106.200.98.153	2[131.30.60.56]
106.71.225.6	4[133.164.193.27]
106.82.229.211	2[150.192.43.8]
107.69.0.222	4[131.30.52.169]
107.69.8.24	8[131.30.65.25]
108.121.130.146	2[150.192.110.207]
108.121.130.147	108[150.192.179.150, 163.221.120.12]
108.121.130.64	4[150.192.179.133, 163.221.117.189]
108.121.153.110	135[150.192.179.150, 150.192.205.114, 163.221.144.87, 202.248.219.244]
108.121.153.111	2[150.192.205.114]
108.121.153.179	34[150.192.206.62, 163.221.147.237, 163.221.155.34, 163.221.159.99, 163.221.46.209, 163.221.6.185, 203.66.198.233]
108.62.145.166	2[131.30.191.65]
110.199.9.123	807[150.192.58.186]
111.113.211.113	2[203.66.193.44]
111.113.241.217	12[131.30.58.97]
111.121.188.134	6[203.66.195.171]
111.247.22.65	2[163.221.216.114]
111.85.18.94	2[131.30.65.5]
112.8.105.248	2[150.177.199.86]
113.161.59.36	2915[203.66.195.167]
113.165.169.13	2160[131.30.148.43]
113.170.60.246	2[150.192.233.140]
113.171.48.197	18[133.164.193.27]
113.198.226.122	16[130.45.2.228]
113.198.227.236	56[133.151.67.168, 133.202.119.129]
113.225.28.201	2[150.177.255.149]
113.226.126.199	2[150.177.25.46]
